timestamp,open,high,low,close,volume
1635704400000,0.2585,0.2678,0.2583,0.2671,24162264.0
1635704460000,0.2672,0.2706,0.2652,0.2703,50082697.0
1635704520000,0.2703,0.2711,0.2629,0.2643,41849134.0
1635704580000,0.2643,0.2694,0.2641,0.2684,18892838.0
1635704640000,0.2683,0.2705,0.2669,0.2704,19807207.0
1635704700000,0.2704,0.274,0.2703,0.2728,32316109.0
1635704760000,0.2729,0.274,0.2711,0.2734,17490759.0
1635704820000,0.2734,0.2769,0.2734,0.2756,29248228.0
1635704880000,0.2756,0.2784,0.2749,0.2782,30219986.0
1635704940000,0.2782,0.2803,0.2747,0.2764,41901244.0
1635705000000,0.2765,0.2803,0.2764,0.2795,31479592.0
1635705060000,0.2794,0.282,0.2782,0.2818,31865021.0
1635705120000,0.2819,0.2827,0.2786,0.2824,34883556.0
1635705180000,0.2825,0.2827,0.2782,0.2811,32461841.0
1635705240000,0.2811,0.2819,0.279,0.2805,23961918.0
1635705300000,0.2806,0.2807,0.2758,0.2779,31513007.0
1635705360000,0.2781,0.2799,0.2757,0.2767,24449839.0
1635705420000,0.2768,0.2788,0.2764,0.2774,19427170.0
1635705480000,0.2773,0.2791,0.2769,0.2778,14074136.0
1635705540000,0.2778,0.2801,0.2775,0.2798,15243449.0
1635705600000,0.2799,0.281,0.2782,0.2791,33426618.0
1635705660000,0.2792,0.2799,0.2772,0.2792,20410635.0
1635705720000,0.2792,0.2801,0.2775,0.2777,15775137.0
1635705780000,0.2777,0.2786,0.2746,0.2753,28789906.0
1635705840000,0.2753,0.2753,0.2715,0.274,30136740.0
1635705900000,0.274,0.277,0.2734,0.277,8043855.0
1635705960000,0.2769,0.278,0.2763,0.2765,8661696.0
1635706020000,0.2766,0.2786,0.2764,0.2784,9669559.0
1635706080000,0.2784,0.279,0.2772,0.2772,13117085.0
1635706140000,0.2772,0.2789,0.2764,0.2785,9159797.0
1635706200000,0.2786,0.2789,0.2771,0.2776,9637372.0
1635706260000,0.2776,0.2778,0.2755,0.2759,9736920.0
1635706320000,0.2759,0.2766,0.2753,0.2761,4360763.0
1635706380000,0.2761,0.2773,0.276,0.2765,5872712.0
1635706440000,0.2765,0.277,0.2751,0.2755,8114602.0
1635706500000,0.2755,0.2755,0.2735,0.274,9532226.0
1635706560000,0.274,0.2741,0.2717,0.2719,11535628.0
1635706620000,0.272,0.2726,0.2704,0.2712,15783625.0
1635706680000,0.2712,0.272,0.2705,0.2705,10005369.0
1635706740000,0.2705,0.2715,0.2688,0.269,11719619.0
1635706800000,0.2691,0.2716,0.2686,0.2714,11298725.0
1635706860000,0.2713,0.2732,0.2711,0.2728,9978298.0
1635706920000,0.2728,0.2731,0.2711,0.2721,6608479.0
1635706980000,0.272,0.273,0.2719,0.2728,3006723.0
1635707040000,0.2728,0.2737,0.272,0.2722,8036080.0
1635707100000,0.2723,0.2725,0.2706,0.2714,6352446.0
1635707160000,0.2715,0.2725,0.2711,0.2722,4412221.0
