datetime,content,like,retweet,comment
2021-11-06 20:05:43+00:00,Roll them ,39.9K,False,10.8K
2021-11-06 19:30:34+00:00,* abide(n),29.3K,False,5.5K
2021-10-27 22:01:15+00:00,Timelapse of Falcon 9 and Dragon going vertical,56.8K,True,4.2K
2021-10-27 20:38:41+00:00,Falcon 9 and Dragon vertical on Launch Complex 39A,48.5K,True,3.9K
2021-10-25 20:55:45+00:00,Endurance has arrived at the Hangar! We can’t wait to ride this ,38.5K,True,3.8K
2021-10-18 21:31:31+00:00,24.4K,675.8K,False,24.4K
2021-10-17 22:22:31+00:00,I’ve thought about and … I’m not sorry for party rocking,188.7K,False,19.3K
2021-10-17 22:20:36+00:00,"(\_/)
( •_•)
/ >",418.7K,False,61K
2021-10-04 01:41:58+00:00,Floki Frunkpuppy,408.6K,False,36.8K
2021-10-03 12:43:00+00:00,"Walk this way … no, *this* way …",19.8K,False,3.4K
2021-10-02 22:08:38+00:00,Amazing show about ,48.7K,False,5.6K
2021-09-18 21:31:37+00:00,Dragon has entered its last orbit before reentry and splashdown → ,25.4K,True,2.1K
2021-09-18 18:10:02+00:00,Orbital moonrise,46.9K,True,2.5K
2021-09-18 04:54:38+00:00,"Moving at ~23 times speed of sound, circling Earth every ~90 minutes",105.6K,False,4.9K
2021-09-13 00:01:47+00:00,Emojilution,109.3K,False,5.4K
2021-09-12 22:22:39+00:00,Floki has arrived,329.2K,False,20.3K
2021-09-12 17:53:48+00:00,6.6K,223.8K,False,6.6K
2021-08-30 09:55:45+00:00,Stage Zero,37K,False,1.6K
2021-08-30 09:12:53+00:00,"SpaceX will try to catch largest ever flying object with robot chopsticks.

Success is not guaranteed, but excitement is!",77.6K,False,4.7K
2021-08-29 06:33:47+00:00,Falcon about to launch Dragon to ,38.8K,False,4K
2021-08-13 13:38:44+00:00,"Priority for residents of Brandenburg & Berlin, but also open to general public",40.3K,False,2.4K
2021-08-13 13:37:30+00:00,Giga Berlin-Brandenburg county fair & factory tour on 9 October!,75.1K,False,5.2K
2021-08-09 13:02:49+00:00,"In 2020, Tesla customers helped accelerate the world’s transition to sustainable energy by avoiding 5.0 million metric tons of CO2e emissions

Impact Report →",39.2K,True,5.4K
2021-07-31 20:37:28+00:00,Starbase is moving at Warp 9,127.6K,False,7.9K
2021-07-31 16:49:36+00:00,Crew-3 astronauts visited ,30.9K,True,2.7K
2021-07-31 09:14:55+00:00,Snatched from the sky by Mechazilla,51.5K,False,2.1K
2021-07-23 20:21:50+00:00,"NASA has selected Falcon Heavy to fly Europa Clipper! Launching in October 2024, this interplanetary mission will study whether Jupiter's icy moon Europa could have conditions suitable for life. ",57.3K,True,4.6K
2021-07-21 11:47:42+00:00,Dragon has autonomously re-docked with the ,46.2K,True,3.5K
2021-07-21 10:30:36+00:00,LIVE: The ,19.7K,True,2.2K
2021-07-09 20:50:33+00:00,Tesla Solar Roof + Powerwall in major new housing development in Austin,28.5K,False,3.5K
2021-07-09 20:39:21+00:00,"Autonomous SpaceX droneship,
A Shortfall of Gravitas",145.7K,False,6.3K
2021-07-05 22:35:43+00:00,I just bought my very first Tesla. Here's what happened ,15.2K,True,1.9K
2021-07-01 18:44:25+00:00,Super Heavy on road & 7th Tower segment added,120K,False,5.6K
2021-07-01 09:57:18+00:00,Super Heavy moves tomorrow,151.3K,False,6.2K
2021-07-01 09:24:21+00:00,"Baby Doge, doo, doo, doo, doo, doo,
Baby Doge, doo, doo, doo, doo, doo,
Baby Doge, doo, doo, doo, doo, doo,
Baby Doge",279K,False,44K
