datetime,content,like,retweet,comment
2021-10-31 18:20:50+00:00,Tuition is in Dogecoin & u get a discount if u have a dog,24.1万,False,2.6万
2021-07-01 09:24:21+00:00,"Baby Doge, doo, doo, doo, doo, doo,
Baby Doge, doo, doo, doo, doo, doo,
Baby Doge, doo, doo, doo, doo, doo,
Baby Doge",27.9万,False,4.4万
2021-07-01 08:43:41+00:00,Release the Doge!,13万,False,1.1万
2021-05-24 19:49:56+00:00,"If you’d like to help develop Doge, please submit ideas on GitHub & ",19.1万,False,2.1万
2021-05-24 20:29:33+00:00,"Someone suggested changing Dogecoin fees based on phases of the moon, which is pretty awesome haha",13万,False,"8,175"
2021-05-20 10:41:00+00:00,How much is that Doge in the window?,30.7万,False,7.1万
2021-05-13 22:45:16+00:00,Working with Doge devs to improve system transaction efficiency. Potentially promising.,54.1万,False,6.4万
2021-05-11 08:13:35+00:00,Do you want Tesla to accept Doge?,39.5万,False,9.7万
2021-05-09 22:41:43+00:00,"SpaceX launching satellite Doge-1 to the moon next year

– Mission paid for in Doge
– 1st crypto in space
– 1st meme in space

To the mooooonnn!!",53.3万,False,3.5万
2021-04-28 06:20:47+00:00,"The Dogefather
SNL May 8",45.3万,False,3.7万
2021-04-15 04:33:18+00:00,Doge Barking at the Moon,32.8万,False,2.2万
2021-04-01 10:25:23+00:00,SpaceX is going to put a literal Dogecoin on the literal moon,53.4万,False,2.5万
2021-03-13 23:51:05+00:00,"Why are you so dogematic, they ask",24万,False,"9,211"
2021-03-13 23:40:41+00:00,Doge day afternoon,17.1万,False,"7,156"
2021-03-13 23:46:16+00:00,"Origin of Doge Day Afternoon:
The ancient Romans sacrificed a Dogecoin at the beginning of the Doge Days to appease the rage of Sirius, believing that the star was the cause of the hot, sultry weather.",7.5万,False,"2,406"
2021-03-06 04:40:30+00:00,Doge spelled backwards is Egod,40万,False,2万
2021-03-01 19:57:08+00:00,Doge meme shield (legendary item),27.8万,False,"9,160"
2021-02-21 21:27:06+00:00,Dojo 4 Doge,31.9万,False,1.9万
2021-02-14 23:25:16+00:00,"If major Dogecoin holders sell most of their coins, it will get my full support. Too much concentration is the only real issue imo.",32.2万,False,2.7万
2021-02-11 09:08:33+00:00,"Frodo was the underdoge,
All thought he would fail,
Himself most of all.",24.2万,False,1.9万
2021-02-10 15:08:11+00:00,"Bought some Dogecoin for lil X, so he can be a toddler hodler",53.5万,False,2.7万
2021-02-07 22:25:14+00:00, Who let the Doge out ,76.8万,False,2.6万
2021-02-04 08:27:10+00:00,"No highs, no lows, only Doge",75.5万,False,2.1万
2021-02-04 07:35:35+00:00,Doge,25.4万,False,"9,028"
2020-12-20 09:30:04+00:00,One word: Doge,21.6万,False,1万
